Serial	Description	Category
n02937010	cagoule	n03891051
n02978367	"casquet, casquetel"	n02978205
n03844815	"oilskin, slicker"	n03702719
n04230387	"ski parka, ski jacket"	n03891051
n02738741	armet	n03513376
n02766168	babushka	n03505504
n02788462	"banyan, banian"	n03589791
n02801823	basinet	n03513376
n02820675	bed jacket	n03589791
n02847631	black tie	n02883205
n02850358	"blazer, sport jacket, sport coat, sports jacket, sports coat"	n03589791
n02864504	bolero	n03589791
n02867966	bomber jacket	n03589791
n02921406	Burberry	n04049405
n02925385	bush jacket	n03589791
n02957008	"capote, hooded coat"	n03456665
n02978205	casque	n03513376
n03015052	chesterfield	n03456665
n03021121	chiton	n04497570
n03021228	chlamys	n02955767
n03219966	"dolman, dolman jacket"	n03589791
n03221540	donkey jacket	n03589791
n03226375	double-breasted jacket	n03589791
n03228254	doublet	n03589791
n03238286	"dressing sack, dressing sacque"	n03589791
n03301175	Eton jacket	n03589791
n03472796	gymslip	n04497570
n03510384	heaume	n03513376
n03520493	hijab	n03505504
n03548320	hug-me-tight	n03589791
n03595264	jerkin	n03589791
n03604536	jumper	n03589791
n03607923	kameez	n04497570
n03615655	khimar	n03505504
n03619275	kirtle	n04497570
n03696909	"lumberjack, lumber jacket"	n03589791
n03702719	"macintosh, mackintosh, mac, mack"	n04049405
n03719560	"mantelet, mantilla"	n02955767
n03720005	Mao jacket	n03589791
n03751269	"mess jacket, monkey jacket, shell jacket"	n03589791
n03770954	"mink, mink coat"	n03404251
n03785721	"morion, cabasset"	n03513376
n03824381	"nightgown, gown, nightie, night-robe, nightdress"	n03673450
n03829857	Norfolk jacket	n03589791
n03885788	panty girdle	n03112869
n03891051	"parka, windbreaker, windcheater, anorak"	n03589791
n03902756	"pea jacket, peacoat"	n03589791
n03906789	pelisse	n02955767
n03929855	pickelhaube	n03513376
n03959014	plastron	n02895154
n03998333	"prayer shawl, tallith, tallis"	n04186455
n04003359	Prince Albert	n03398228
n04077594	"rerebrace, upper cannon"	n02950632
n04122492	sable coat	n03404251
n04123026	"sack, sacque"	n03589791
n04130907	"sallet, salade"	n03513376
n04173907	"serape, sarape"	n04186455
n04222307	single-breasted jacket	n03589791
n04264233	soutane	n02979516
n04361937	surcoat	n04497570
n04365229	surtout	n03456665
n04368496	"swallow-tailed coat, swallowtail, morning coat"	n03589791
n04378489	tabard	n04497570
n04440597	tippet	n02955767
n04445154	toga virilis	n04445040
n04479046	trench coat	n04049405
n04506402	ulster	n03456665
n04509171	undies	n03673450
n04519887	"vambrace, lower cannon"	n02950632
n04580994	white tie	n02883205
n02694966	alb	n04532106
n02713218	"anklet, anklets, bobbysock, bobbysocks"	n04254777
n02736798	"argyle, argyll"	n04254777
n02747063	ascot	n03128085
n02752496	"athletic sock, sweat sock, varsity sock"	n04254777
n02770078	backplate	n02740764
n02781121	ball gown	n03450230
n02786058	Band Aid	n02680110
n02786611	"bandoleer, bandolier"	n02972397
n02816768	"beanie, beany"	n04232153
n02818135	"beaver, castor"	n03404360
n02818254	beaver	n02740764
n02831595	"Bermuda shorts, Jamaica shorts"	n04205318
n02834642	"bicorn, bicorne"	n03061050
n02837887	bikini pants	n04508489
n02854739	"bloomers, pants, drawers, knickers"	n04508489
n02865351	"bolo tie, bolo, bola tie, bola"	n03815615
n02874336	boothose	n04323819
n02883205	"bow tie, bow-tie, bowtie"	n03815615
n02885233	box coat	n03057021
n02892392	brassard	n02740764
n02895154	"breastplate, aegis, egis"	n02740764
n02898585	"bridal gown, wedding gown, wedding dress"	n03450230
n02901114	"briefs, Jockey shorts"	n04508489
n02901481	brigandine	n03000247
n02902816	britches	n02896442
n02910864	buckskins	n02896442
n02923535	"burnous, burnoose, burnouse"	n03045337
n02930214	"BVD, BVD's"	n04508949
n02936402	"caftan, kaftan"	n03045337
n02950632	cannon	n02740764
n02955767	"cape, mantle"	n03045337
n02956883	"capote, hooded cloak"	n03045337
n02958264	capuchin	n03045337
n02979516	cassock	n04532106
n03005619	"chanfron, chamfron, testiere, frontstall, front-stall"	n02740764
n03010795	chasuble	n04532106
n03026506	Christmas stocking	n04323819
n03028785	church hat	n03766322
n03046029	cloche	n03766322
n03057841	coatee	n03057021
n03065243	coif	n04232153
n03103904	cope	n03045337
n03112869	"corset, girdle, stays"	n03387323
n03128427	crazy quilt	n03898633
n03132776	crinoline	n03920737
n03144873	cubitiere	n02740764
n03146342	cuisse	n02740764
n03152830	cutaway	n03057021
n03205669	dirndl	n03429003
n03219859	dolman	n03045337
n03221205	domino	n03045337
n03234164	"drawers, underdrawers, shorts, boxers, boxershorts"	n04508489
n03237212	"dress blues, dress whites"	n03239259
n03254046	"duffel coat, duffle coat"	n03057021
n03268142	Elastoplast	n03267821
n03292362	epauliere	n02740764
n03325288	fauld	n02740764
n03388323	four-in-hand	n03815615
n03395401	French roof	n03718789
n03398228	frock coat	n03057021
n03404251	fur coat	n03057021
n03415252	"gamp, brolly"	n04507155
n03418749	garibaldi	n02854926
n03434830	Geneva gown	n02669723
n03448590	gorget	n02740764
n03456665	"greatcoat, overcoat, topcoat"	n03057021
n03457451	"greave, jambeau"	n02740764
n03461037	grizzle	n04584207
n03467254	guimpe	n02854926
n03473817	habergeon	n03000247
n03499468	"hauberk, byrnie"	n03000247
n03505504	headscarf	n03610992
n03513376	helmet	n02740764
n03538957	horsehair wig	n04584207
n03543112	hot pants	n04205318
n03548930	"humeral veil, veil"	n04532106
n03589791	jacket	n03057021
n03595055	jellaba	n03045337
n03622931	"knee-high, knee-hi"	n04254777
n03623338	knee piece	n02740764
n03630383	"lab coat, laboratory coat"	n03057021
n03653833	lederhosen	n04205318
n03660124	"Levi's, levis"	n03594734
n03673450	"lingerie, intimate apparel"	n04508949
n03688192	long johns	n04508949
n03703463	"mackinaw, Mackinaw coat"	n03057021
n03710637	maillot	n04434932
n03719911	mantua	n03450230
n03762238	"middy, middy blouse"	n02854926
n03814727	"neckcloth, stock"	n03128085
n03814817	neckerchief	n03610992
n03821898	newmarket	n03057021
n03826039	niqab	n03314884
n03831899	nosepiece	n02740764
n03836976	"nylons, nylon stocking, rayons, rayon stocking, silk stocking"	n04323819
n03845990	old school tie	n03815615
n03849943	"opera cloak, opera hood"	n03045337
n03879705	"pallette, palette"	n02740764
n03880032	pallium	n03045337
n03880129	pallium	n04532106
n03885028	"pantie, panty, scanty, step-in"	n04508489
n03885669	"pants suit, pantsuit"	n04233832
n03885904	pantyhose	n04434932
n03917327	"periwig, peruke"	n04584207
n03931885	picture hat	n03766322
n03937835	"pillbox, toque, turban"	n03766322
n03950899	"pith hat, pith helmet, sun helmet, topee, topi"	n04356595
n03970363	plus fours	n02896442
n03980874	poncho	n03045337
n03981340	pontifical	n04532106
n03984643	"porkpie, porkpie hat"	n04248507
n04049405	"raincoat, waterproof"	n03057021
n04102285	roller blind	n04590129
n04103665	roll-on	n03387323
n04114069	roundel	n02740764
n04123448	sack coat	n03057021
n04126541	safety curtain	n04418357
n04129766	sailor suit	n03289985
n04186455	shawl	n03045337
n04187970	"sheepskin coat, afghan"	n03057021
n04198562	"shirtwaist, shirtwaister"	n02854926
n04229107	skid lid	n03127747
n04231444	skirt of tasses	n02740764
n04231905	Skivvies	n04508949
n04259468	"solleret, sabaton"	n02740764
n04279858	spiral bandage	n03838748
n04339191	string tie	n03815615
n04354589	sunbonnet	n04356595
n04360914	"support hose, support stocking"	n04323819
n04363777	surcoat	n03057021
n04364994	surplice	n04532106
n04370456	sweatshirt	n04021028
n04378956	"tabi, tabis"	n04254777
n04395332	"tasset, tasse"	n02740764
n04397645	tea gown	n03450230
n04426427	thong	n04508489
n04427715	three-piece suit	n02925519
n04445040	toga	n03045337
n04455579	topper	n03057021
n04482177	"tricorn, tricorne"	n03061050
n04491934	trunk hose	n02896442
n04496404	tuille	n02740764
n04497570	tunic	n03045337
n04504141	"two-piece, two-piece suit, lounge suit"	n02925519
n04514241	uplift	n02892767
n04538878	"visor, vizor"	n02740764
n04539648	"voider, gusset"	n03000247
n04591157	Windsor tie	n03815615
n04605446	"wrap, wrapper"	n03045337
n04612026	"yarmulke, yarmulka, yarmelke"	n04232153
n02666079	aba	n03863923
n02667093	abaya	n04097866
n02669534	academic costume	n03113835
n02669723	"academic gown, academic robe, judge's robe"	n03450516
n02680110	adhesive bandage	n02785648
n02683323	afghan	n02849154
n02683454	Afro-wig	n03476083
n02720576	"anti-G suit, G suit"	n04001845
n02740764	"armor plate, armour plate, armor plating, plate armor, plate armour"	n03959701
n02751067	astrodome	n03220513
n02763901	"awning, sunshade, sunblind"	n02951843
n02776825	"balaclava, balaclava helmet"	n02954340
n02778131	baldachin	n02951843
n02778294	"baldric, baldrick"	n02827606
n02780704	balldress	n03384891
n02780815	"ballet skirt, tutu"	n04230808
n02783567	"Balmoral, bluebonnet"	n02954340
n02796207	barrel vault	n04523525
n02799323	"baseball cap, jockey cap, golf cap"	n02954340
n02807133	"bathing cap, swimming cap"	n02954340
n02807616	bathrobe	n04097866
n02811350	batting helmet	n03513137
n02811719	battle dress	n03763968
n02817516	"bearskin, busby, shako"	n03497657
n02825442	"bellbottom trousers, bell-bottoms, bellbottom pants"	n04489008
n02831237	beret	n02954340
n02834506	bib-and-tucker	n03859958
n02837309	biggin	n02954340
n02837789	"bikini, two-piece"	n04371563
n02843909	"biretta, berretta, birretta"	n02954340
n02854926	blouse	n04453666
n02859184	"boater, leghorn, Panama, Panama hat, sailor, skimmer, straw hat"	n03497657
n02861387	bodice	n04453666
n02863014	body stocking	n04508163
n02869837	"bonnet, poke bonnet"	n03497657
n02873520	boot	n04190747
n02881757	"bowler hat, bowler, derby hat, derby, plug hat"	n03497657
n02892767	"brassiere, bra, bandeau"	n04508163
n02896442	"breeches, knee breeches, knee pants, knickerbockers, knickers"	n04489008
n02908123	brunch coat	n03817647
n02916936	bulletproof vest	n04531873
n02925519	business suit	n04350905
n02926426	bustier	n04453666
n02936570	"caftan, kaftan"	n03236735
n02937958	"calash, caleche, calash top"	n03531447
n02938095	"calash, caleche"	n03531281
n02941228	"calpac, calpack, kalpac"	n02954340
n02941845	"camail, aventail, ventail"	n03531281
n02943964	camise	n04197391
n02944075	camisole	n03817647
n02944146	"camisole, underbodice"	n04508163
n02945964	campaign hat	n03497657
n02955944	capeline bandage	n02785648
n02963159	cardigan	n04370048
n02972397	cartridge belt	n02827606
n02979836	"cast, plaster cast, plaster bandage"	n02785648
n02987379	"cavalier hat, slouch hat"	n03497657
n02998841	"chador, chadar, chaddar, chuddar"	n03502331
n03000247	"chain mail, ring mail, mail, chain armor, chain armour, ring armor, ring armour"	n02862048
n03006903	chap	n03655072
n03013438	"chemise, sack, shift"	n03236735
n03013580	"chemise, shimmy, shift, slip, teddy"	n04508163
n03019434	chino	n04489008
n03029296	churidars	n04489008
n03045337	cloak	n03863923
n03049924	"cloth cap, flat cap"	n02954340
n03057021	coat	n03863923
n03057724	coatdress	n03236735
n03061050	cocked hat	n03497657
n03061893	"cockscomb, coxcomb"	n02954340
n03062015	"cocktail dress, sheath"	n03236735
n03082656	"compression bandage, tourniquet"	n02785648
n03103563	"coonskin cap, coonskin"	n02954340
n03107488	"cords, corduroys"	n04489008
n03112719	"corselet, corslet"	n02862048
n03123553	coverlet	n02822220
n03124170	"cowboy hat, ten-gallon hat"	n03497657
n03124474	cowl	n03531281
n03127747	crash helmet	n03513137
n03128085	cravat	n03816005
n03146219	cuirass	n02862048
n03146777	culotte	n04230808
n03148727	cupola	n03220513
n03163381	"dashiki, daishiki"	n04197391
n03166213	deadlight	n04211356
n03170872	deerstalker	n03497657
n03186199	dhoti	n02896294
n03201638	"dinner dress, dinner gown, formal, evening gown"	n03384891
n03201776	"dinner jacket, tux, tuxedo, black tie"	n03384891
n03205574	dirndl	n03236735
n03226538	double-breasted suit	n04350905
n03228692	"dovecote, columbarium, columbary"	n02843684
n03237992	"dressing gown, robe-de-chambre, lounging robe"	n04097866
n03238879	"dress shirt, evening shirt"	n04197391
n03239054	"dress suit, full dress, tailcoat, tail coat, tails, white tie, white tie and tails"	n03384891
n03239259	dress uniform	n03763968
n03246454	"drop curtain, drop cloth, drop"	n03151077
n03256631	"dunce cap, dunce's cap, fool's cap"	n03497657
n03258730	"duster, gaberdine, gabardine, smock, dust coat"	n03121897
n03266749	"eiderdown, duvet, continental quilt"	n04033995
n03267821	elastic bandage	n02785648
n03270854	electric blanket	n02849154
n03289985	ensemble	n03859958
n03296478	"escutcheon, scutcheon"	n04192698
n03297103	espadrille	n04133789
n03314227	face guard	n03314378
n03314884	face veil	n03502331
n03320519	"fancy dress, masquerade, masquerade costume"	n03113657
n03324928	fatigues	n03763968
n03325584	"feather boa, boa"	n04143897
n03325941	"fedora, felt hat, homburg, Stetson, trilby"	n03497657
n03327553	"fencing mask, fencer's mask"	n03314378
n03330665	festoon	n03151077
n03331077	"fez, tarboosh"	n02954340
n03332173	fichu	n04143897
n03357081	"flannel, gabardine, tweed, white"	n04489008
n03364008	"flip-flop, thong"	n04133789
n03379051	football helmet	n03513137
n03387323	"foundation garment, foundation"	n04508163
n03389353	four-tailed bandage	n02785648
n03395256	"French polish, French polish shellac"	n04191150
n03398153	frock	n03473966
n03398950	frontal	n03151077
n03402188	full-dress uniform	n03763968
n03402511	full skirt	n04230808
n03404360	fur hat	n03497657
n03410938	gaiter	n03655072
n03413684	"gambrel, gambrel roof"	n03409591
n03420801	"garrison cap, overseas cap"	n02954340
n03421324	"garter belt, suspender belt"	n04508163
n03429003	gathered skirt	n04230808
n03429682	"gauntlet, gantlet"	n03441112
n03429771	"gauntlet, gantlet, metal glove"	n03441112
n03431570	"gearbox, gear box, gear case"	n04190747
n03435593	geodesic dome	n03220513
n03439631	Glengarry	n02954340
n03450230	gown	n03236735
n03454442	grass skirt	n04230808
n03461882	groined vault	n04523525
n03472672	gym suit	n04285803
n03476542	hair shirt	n04197391
n03480579	halter	n04453666
n03492922	"hard hat, tin hat, safety hat"	n03513137
n03504205	headpiece	n03513137
n03514894	henroost	n04107984
n03523506	hobble skirt	n04230808
n03527565	holster	n02827606
n03534580	"hoopskirt, crinoline"	n04230808
n03539433	"horseshoe, shoe"	n03959701
n03547530	"huarache, huaraches"	n04133789
n03562565	immovable bandage	n02785648
n03588216	izar	n03863923
n03590475	jacket	n04190747
n03592669	jalousie	n04211356
n03594734	"jean, blue jean, denim"	n04603872
n03595614	"jersey, T-shirt, tee shirt"	n04197391
n03600285	"jodhpurs, jodhpur breeches, riding breeches"	n04489008
n03600475	"jodhpur, jodhpur boot, jodhpur shoe"	n04089666
n03604400	"jumper, pinafore, pinny"	n03236735
n03604763	jumper	n03121897
n03607527	kalansuwa	n02954340
n03610682	"kepi, peaked cap, service cap, yachting cap"	n02954340
n03610992	kerchief	n04143897
n03615563	khakis	n03763968
n03616979	"kid glove, suede glove"	n03441112
n03617312	kilt	n04230808
n03617480	kimono	n04097866
n03619196	kirtle	n03236735
n03629231	kurta	n04197391
n03635236	lambrequin	n04143897
n03649003	lavalava	n04230808
n03660394	liberty cap	n02954340
n03688605	"long trousers, long pants"	n04489008
n03688707	"long underwear, union suit"	n04508163
n03703320	"mackinaw, Mackinaw blanket"	n02849154
n03710721	"maillot, tank suit"	n04371563
n03718789	"mansard, mansard roof"	n03149401
n03719249	manta	n02849154
n03719743	mantilla	n04143897
n03723153	"marquee, marquise"	n02951843
n03732458	maxi	n04230808
n03766322	"millinery, woman's hat"	n03497657
n03770439	"miniskirt, mini"	n04230808
n03775071	mitten	n03441112
n03776167	mobcap	n02954340
n03781467	monastic habit	n03473966
n03781683	money belt	n02827606
n03786096	morning dress	n03236735
n03787032	mortarboard	n02954340
n03788914	"Mother Hubbard, muumuu"	n03236735
n03797182	muffler	n04143897
n03802800	"mustard plaster, sinapism"	n03993403
n03815615	"necktie, tie"	n03816005
n03824284	nightcap	n02954340
n03835941	nun's habit	n03473966
n03838748	oblique bandage	n02785648
n03846234	"olive drab, olive-drab uniform"	n03763968
n03847471	onion dome	n03220513
n03863262	"overall, boilersuit, boilers suit"	n03121897
n03866082	overskirt	n04230808
n03877674	"pajama, pyjama"	n04489008
n03884554	pantaloon	n04489008
n03898633	"patchwork, patchwork quilt"	n04033995
n03900028	patka	n04143897
n03901338	"pavis, pavise"	n04192698
n03903733	"pedal pusher, toreador pants"	n04489008
n03920737	"petticoat, half-slip, underskirt"	n04508163
n03943448	pinner	n02954340
n03943920	pinstripe	n04350905
n03964611	playsuit	n03859958
n03967270	plimsoll	n03472535
n03978815	polonaise	n03236735
n03978966	"polo shirt, sport shirt"	n04197391
n03986071	porte-cochere	n02951843
n03986857	portiere	n03151077
n04001397	pressure dome	n03220513
n04021028	"pullover, slipover"	n04370048
n04027706	"pusher, zori"	n04133789
n04027935	puttee	n03655072
n04034262	quilted bedspread	n02822220
n04060448	rebozo	n04143897
n04071393	regimentals	n03763968
n04084889	"revers, revere"	n03642444
n04087709	ribbed vault	n04523525
n04092168	rigout	n03113835
n04101860	roller bandage	n02785648
n04120695	running suit	n04285803
n04121426	"rya, rya rug"	n04183217
n04122262	sable	n04143897
n04124370	"saddle oxford, saddle shoe"	n03868406
n04129688	sailor cap	n02954340
n04132158	"salwar, shalwar"	n04489008
n04132465	Sam Browne belt	n02827606
n04136161	"sari, saree"	n03236735
n04136333	sarong	n04230808
n04156411	scuffer	n04133789
n04165675	security blanket	n02849154
n04191346	shell plating	n03959701
n04197878	shirtdress	n03236735
n04205318	"short pants, shorts, trunks"	n04489008
n04207763	shoulder holster	n03527444
n04208582	shovel hat	n03497657
n04209133	shower cap	n02954340
n04209239	shower curtain	n03151077
n04222470	single-breasted suit	n04350905
n04223299	"singlet, vest, undershirt"	n04508163
n04228693	"ski cap, stocking cap, toboggan cap"	n02954340
n04229816	ski mask	n03314378
n04232153	skullcap	n02954340
n04233715	slacks	n04489008
n04233832	slack suit	n04350905
n04235771	sleeper	n03877472
n04239436	"sling, scarf bandage, triangular bandage"	n02785648
n04248507	snap-brim hat	n03497657
n04252560	snowsuit	n03863923
n04254777	sock	n03540267
n04259630	sombrero	n03497657
n04264361	sou'wester	n03497657
n04265428	space helmet	n03513137
n04266375	spacesuit	n04001845
n04269822	"spat, gaiter"	n03655072
n04272389	"spectator pump, spectator"	n04022332
n04323819	stocking	n03540267
n04325704	stole	n04143897
n04334105	strapless	n03236735
n04337287	stretch pants	n04489008
n04355115	"Sunday best, Sunday clothes"	n03340923
n04355511	sundress	n03236735
n04356595	"sunhat, sun hat"	n03497657
n04366832	"suspensory, suspensory bandage"	n02785648
n04369025	"swathe, wrapping"	n02785648
n04370288	"sweat pants, sweatpants"	n04489008
n04371430	"swimming trunks, bathing trunks"	n04371563
n04372948	switch	n03476083
n04386664	talaria	n04133789
n04387095	"tam, tam-o'-shanter, tammy"	n02954340
n04390577	tank top	n04197391
n04415354	tester	n02951843
n04418357	"theater curtain, theatre curtain"	n03151077
n04432203	tiara	n03597317
n04434932	"tights, leotards"	n03540267
n04441528	titfer	n03497657
n04456011	toque	n03497657
n04459018	"toupee, toupe"	n03476083
n04480303	trews	n04489008
n04488742	trouser cuff	n03145843
n04489695	trousseau	n03859958
n04492585	truss	n02785648
n04495698	tudung	n04143897
n04502197	"turtleneck, turtle, polo-neck"	n04370048
n04505888	"tyrolean, tirolean"	n03497657
n04507155	umbrella	n02951843
n04508489	underpants	n04508163
n04508949	"underwear, underclothes, underclothing"	n04508163
n04525584	Venetian blind	n04589190
n04532106	vestment	n03450516
n04542715	waders	n03521544
n04556408	watch cap	n02954340
n04579230	"whispering gallery, whispering dome"	n03220513
n04584207	wig	n03476083
n04590129	window shade	n04589190
n04596116	wishing cap	n02954340
n04602956	work-shirt	n04603872
n04612159	"yashmak, yashmac"	n03502331
n04615644	zoot suit	n04350905
n02684649	"aglet, aiglet"	n04187061
n02697221	A-line	n04596852
n02713364	anklet	n04199027
n02726017	ao dai	n02756098
n02730930	apron	n04015204
n02735538	"arctic, galosh, golosh, rubber, gumshoe"	n03865949
n02738859	"arm guard, arm pad"	n04015204
n02752615	"athletic supporter, supporter, suspensor, jockstrap, jock"	n04015204
n02767147	baby shoe	n04199027
n02783708	balmoral	n04199027
n02785648	"bandage, patch"	n03237639
n02821543	bedroll	n02820210
n02822220	"bedspread, bedcover, bed cover, bed covering, counterpane, spread"	n02820210
n02825657	"bell cote, bell cot"	n04191943
n02827606	belt	n02671780
n02841187	binnacle	n03546766
n02841847	biohazard suit	n04015204
n02843684	birdhouse	n04191943
n02849154	"blanket, cover"	n02820210
n02855701	blucher	n04199027
n02862048	"body armor, body armour, suit of armor, suit of armour, coat of mail, cataphract"	n02739668
n02863340	body pad	n04015204
n02873733	"bootee, bootie"	n04241394
n02877765	bottlecap	n02954938
n02882894	bowling shoe	n04199027
n02887489	"brace, suspender, gallus"	n03746330
n02890513	brake lining	n03673767
n02896294	"breechcloth, breechclout, loincloth"	n03419014
n02904233	broadloom	n04118021
n02904927	"brogan, brogue, clodhopper, work shoe"	n04199027
n02908773	Brussels carpet	n04118021
n02922578	"burqa, burka"	n03419014
n02925107	"bushing, cylindrical lining"	n03673767
n02925666	"buskin, combat boot, desert boot, half boot, top boot"	n02872752
n02933340	"cabinet, console"	n03546766
n02938218	calceus	n04199027
n02944375	camlet	n03419014
n02951843	canopy	n04191943
n02954340	cap	n03502509
n02992368	cellophane	n03958752
n03012373	cheesecloth	n03429914
n03015478	chest protector	n04015204
n03025250	"chopine, platform"	n04199027
n03027625	"chukka, chukka boot"	n04199027
n03036341	"civies, civvies"	n03036469
n03041449	cleats	n04199027
n03068998	collar	n03815482
n03082450	compress	n03237639
n03090710	"congress boot, congress shoe, congress gaiter"	n04199027
n03113657	costume	n02756098
n03113835	costume	n02756098
n03114041	costume	n02756098
n03114236	costume	n02756098
n03114634	cote	n04191943
n03121897	coverall	n04015204
n03124043	cowboy boot	n02872752
n03127203	crankcase	n03546766
n03145843	"cuff, turnup"	n03641706
n03149401	curb roof	n04105068
